FOLIO,CONCESIONARIO,K_GRUPO,GRUPO,ANIO,MES,FECHA,K_EMPRESA,EMPRESA,S_RESIDENCIAL_E,S_NO_RESIDENCIAL_E,S_AMBOS_E,S_NO_ESPECIFICADO_E,S_TOTAL_E
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,3,15-mar-15,C0378,MEGACABLE,15754,192,,,15946
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,4,15APR2015,C0378,MEGACABLE,15742,263,,,16005
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,5,15-may-15,C0378,MEGACABLE,15871,277,,,16148
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,6,15-jun-15,C0378,MEGACABLE,15896,273,,,16169
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,7,15-jul-15,C0378,MEGACABLE,16123,138,,,16261
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,8,15AUG2015,C0378,MEGACABLE,16302,138,,,16440
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,9,15-sep-15,C0378,MEGACABLE,16463,150,,,16613
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,10,15-oct-15,C0378,MEGACABLE,16526,157,,,16683
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,11,15-nov-15,C0378,MEGACABLE,16708,182,,,16890
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2015,12,15DEC2015,C0378,MEGACABLE,17127,200,,,17327
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,1,15JAN2016,C0378,MEGACABLE,17327,190,,,17517
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,2,15-feb-16,C0378,MEGACABLE,17489,216,,,17705
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,3,15-mar-16,C0378,MEGACABLE,17696,239,,,17935
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,4,15APR2016,C0378,MEGACABLE,17837,240,,,18077
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,5,15-may-16,C0378,MEGACABLE,17861,250,,,18111
100267,MANUEL TREJO GARCIA,G008,MEGACABLE-MCM,2016,6,15-jun-16,C0378,MEGACABLE,17893,259,,,18152
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,1,15JAN2013,C0378,MEGACABLE,9119,49,,,9168
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,2,15-feb-13,C0378,MEGACABLE,9109,49,,,9158
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,3,15-mar-13,C0378,MEGACABLE,9096,48,,,9144
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,4,15APR2013,C0378,MEGACABLE,9932,48,,,9980
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,5,15-may-13,C0378,MEGACABLE,11559,53,,,11612
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,6,15-jun-13,C0378,MEGACABLE,12851,54,,,12905
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,7,15-jul-13,C0378,MEGACABLE,12768,53,,,12821
100278,MARIA DEL CARMEN GARCIA ANGELES,G008,MEGACABLE-MCM,2013,8,15AUG2013,C0378,MEGACABLE,12751,52,,,12803
