FECHA,GRUPO,MARKET_SHARE
15-mar-09,ULTRAVISION,0.01088
15-mar-09,GRUPO TELEVISA,0.46404
15-mar-09,CABLEVISION RED,0.04305
15-mar-09,TV REY,0.00222
15-mar-09,OTROS,0.09454
15-mar-09,MEGACABLE-MCM,0.21453
15-jun-09,DISH-MVS,0.09964
15-jun-09,CABLEVISION RED,0.0416
15-jun-09,ULTRAVISION,0.01057
15-jun-09,CABLECOM,0.08446
15-jun-09,MAXCOM,0.00125
15-jun-09,MEGACABLE-MCM,0.21003
15-jun-09,AIRECABLE,0.00152
15-jun-09,OTROS,0.09349
15-jun-09,TV REY,0.00237
15-jun-09,GRUPO TELEVISA,0.45508
15-sep-09,DISH-MVS,0.12421
15-sep-09,CABLECOM,0.0824
15-sep-09,MAXCOM,0.00121
15-sep-09,AIRECABLE,0.00149
15-sep-09,ULTRAVISION,0.00987
15-sep-09,MEGACABLE-MCM,0.20235
15-sep-09,GRUPO TELEVISA,0.44515
15-sep-09,CABLEVISION RED,0.03997
15-sep-09,OTROS,0.09098
15-sep-09,TV REY,0.00237
15DEC2009,CABLEVISION RED,0.03817
15DEC2009,CABLECOM,0.07936
15DEC2009,GRUPO TELEVISA,0.44571
15DEC2009,MEGACABLE-MCM,0.19671
15DEC2009,AIRECABLE,0.00144
15DEC2009,OTROS,0.08887
15DEC2009,TV REY,0.00226
15DEC2009,MAXCOM,0.00121
15DEC2009,ULTRAVISION,0.00893
15DEC2009,DISH-MVS,0.13735
15-mar-10,ULTRAVISION,0.00786
15-mar-10,CABLEVISION RED,0.03589
15-mar-10,MAXCOM,0.00121
15-mar-10,CABLECOM,0.07486
15-mar-10,MEGACABLE-MCM,0.18567
15-mar-10,AIRECABLE,0.00133
15-mar-10,GRUPO TELEVISA,0.44706
15-mar-10,OTROS,0.0842
15-mar-10,TV REY,0.00211
15-mar-10,DISH-MVS,0.15979
15-jun-10,CABLEVISION RED,0.03387
15-jun-10,CABLECOM,0.07066
15-jun-10,MAXCOM,0.00124
15-jun-10,AIRECABLE,0.00126
15-jun-10,ULTRAVISION,0.00651
15-jun-10,MEGACABLE-MCM,0.17894
15-jun-10,GRUPO TELEVISA,0.45285
15-jun-10,OTROS,0.07949
15-jun-10,TV REY,0.00198
15-jun-10,DISH-MVS,0.17321
15-sep-10,CABLEVISION RED,0.03237
15-sep-10,CABLECOM,0.06727
